iteration,time,total_mass,phi_min,phi_max
0,0.0,-0.5466250176711422,-1.0047425512502526,1.0
0,0.0,-0.5466423017530249,-1.0047666842623886,1.0
10000,200.0000000000285,-0.5466423017530249,-1.067696480488857,0.9881051375550467
20000,399.99999999992616,-0.5466423017530249,-1.0598796561904977,0.948881235043622
30000,599.9999999997443,-0.5466423017530249,-1.0577554356142387,0.9217385331779988
40000,799.9999999995624,-0.5466423017530249,-1.058438656860336,0.9043402918748826
50000,999.9999999993805,-0.5466423017530249,-1.0602410377214524,0.8930485098661592
60000,1199.9999999991987,-0.5466423017530249,-1.0617982953845373,0.8856215047486384
70000,1399.9999999990168,-0.5466423017530249,-1.06303996522958,0.8829975335886994
80000,1599.999999998835,-0.5466423017530249,-1.0642010571277203,0.8828535397996847
90000,1799.999999998653,-0.5466423017530249,-1.0651714896278803,0.8826401738780696
100000,1999.9999999984711,-0.5466423017530249,-1.0659817421516522,0.8823397223889015
110000,2199.9999999982892,-0.5466423017530249,-1.066714963266409,0.8820201164646473
120000,2399.9999999981073,-0.5466423017530249,-1.0673605702097744,0.8815939284346801
130000,2599.9999999979254,-0.5466423017530249,-1.067912506370743,0.8810342430304074
140000,2799.9999999977435,-0.5466423017530249,-1.068387465203752,0.8803134945104361
150000,2999.9999999975616,-0.5466423017530249,-1.0687992281569925,0.8793931463385819
160000,3199.9999999973797,-0.5466423017530249,-1.0691596229987819,0.8782174355602824
170000,3399.999999997198,-0.5466423017530249,-1.069476150707248,0.876705615243233
180000,3599.999999997016,-0.5466423017530249,-1.069764760305505,0.8747427023662379
190000,3799.999999996834,-0.5466423017530249,-1.0700366629084337,0.8721681519275963
200000,3999.999999996652,-0.5466423017530249,-1.0702805064186816,0.8708035604206786
210000,4199.999999998835,-0.5466423017530249,-1.070500879932208,0.8707646544215875
220000,4400.0000000032005,-0.5466423017530249,-1.0707015754201823,0.8707269808521144
230000,4600.000000007566,-0.5466423017530249,-1.0708857034682353,0.8706896922450522
240000,4800.000000011932,-0.5466423017530249,-1.0710571939615643,0.8706494827773272
250000,5000.000000016297,-0.5466423017530248,-1.0712167003187218,0.8706052743325733
260000,5200.000000020663,-0.5466423017530249,-1.0713654848098164,0.8705560565966192
270000,5400.000000025028,-0.5466423017530249,-1.0715044323858793,0.8705006048073831
280000,5600.000000029394,-0.5466423017530249,-1.071633751866326,0.8704370792168136
290000,5800.0000000337595,-0.5466423017530249,-1.071753728969341,0.8703623630055006
300000,6000.000000038125,-0.5466423017530249,-1.071859707010034,0.8702695265249805
310000,6200.000000042491,-0.5466423017530249,-1.0719417694275717,0.8701381831785931
320000,6400.000000046856,-0.5466423017530249,-1.0719888037028573,0.8699746228605315
330000,6600.000000051222,-0.5466423017530249,-1.0720381693196501,0.8698748209822924
340000,6800.000000055587,-0.5466423017530249,-1.0721519749637438,0.8703758612561613
350000,7000.000000059953,-0.546642301753025,-1.0723907537336401,0.8708033734899678
360000,7200.000000064319,-0.5466423017530249,-1.072725642237855,0.8710947917693064
370000,7400.000000068684,-0.5466423017530249,-1.0731509568286535,0.871298099897848
380000,7600.00000007305,-0.5466423017530249,-1.0736043582490855,0.8714435618362804
390000,7800.000000077415,-0.5466423017530249,-1.0740211907417103,0.8715629306319532
400000,8000.000000081781,-0.5466423017530249,-1.0743909576606867,0.8716558175200474
410000,8200.000000086146,-0.5466423017530249,-1.0747179808298877,0.871728342350441
420000,8400.000000090511,-0.5466423017530249,-1.0750105854158833,0.8717853931741876
430000,8600.000000094877,-0.5466423017530249,-1.0752666146329073,0.871830374752493
440000,8800.000000099242,-0.5466423017530249,-1.0754880542339291,0.8718657460557447
450000,9000.000000103608,-0.5466423017530249,-1.0756745380464638,0.8718933447297387
460000,9200.000000107973,-0.5466423017530249,-1.075830283127362,0.8719145859676718
470000,9400.000000112339,-0.5466423017530249,-1.0759709623200064,0.8719305870169451
480000,9600.000000116705,-0.5466423017530249,-1.0760929162856547,0.8719422472413187
490000,9800.00000012107,-0.5466423017530249,-1.0761938691141892,0.8719503012574983
500000,10000.000000125436,-0.5466423017530249,-1.0762792443960616,0.8719553554655426
510000,10200.000000129801,-0.5466423017530249,-1.0763591096308154,0.8719579141034095
520000,10400.000000134167,-0.5466423017530249,-1.0764251663496136,0.8719583985084682
530000,10600.000000138532,-0.5466423017530249,-1.0764794177059935,0.8719571618297711
540000,10800.000000142898,-0.5466423017530249,-1.0765235885507267,0.8719545005832844
550000,11000.000000147264,-0.5466423017530249,-1.0765591579860192,0.8719506639335082
560000,11200.00000015163,-0.5466423017530249,-1.076587390783499,0.8719458612781885
570000,11400.000000155995,-0.5466423017530249,-1.0766093663797498,0.8719402685248456
580000,11600.00000016036,-0.5466423017530249,-1.0766261199617067,0.8719340333311499
590000,11800.000000164726,-0.5466423017530249,-1.0766388679179364,0.8719346411064123
600000,12000.000000169091,-0.5466423017530249,-1.076647696451447,0.8719345842561446
610000,12200.000000173457,-0.5466423017530249,-1.0766531720326193,0.8719339613190131
620000,12400.000000177823,-0.5466423017530249,-1.0766557777232195,0.8719328638916863
630000,12600.000000182188,-0.5466423017530249,-1.076655925655093,0.871931369393997
640000,12800.000000186554,-0.5466423017530249,-1.0766539676736637,0.8719295432351069
650000,13000.00000019092,-0.5466423017530249,-1.0766502043960675,0.871927440653129
660000,13200.000000195285,-0.5466423017530249,-1.0766448929079484,0.8719251082768003
670000,13400.00000019965,-0.5466423017530249,-1.0766383705601053,0.8719225854505096
680000,13600.000000204016,-0.5466423017530249,-1.0766340407575226,0.8719199053579807
