iteration,time,total_mass,phi_min,phi_max
0,0.0,-0.4000000000000001,-0.4,-0.4
10000,200.0000000000285,-0.4,-1.0527676222259235,0.6156360036836718
20000,399.99999999992616,-0.4,-1.1653922696939567,0.8393943547357378
30000,599.9999999997443,-0.4,-1.1511085511757726,0.9837540229993618
40000,799.9999999995624,-0.4,-1.1534984675018547,1.050494023979902
50000,999.9999999993805,-0.4,-1.216529269089375,1.0126130799751611
60000,1199.9999999991987,-0.4,-1.1636130684976866,1.083643234855177
70000,1399.9999999990168,-0.4,-1.239552808752972,1.1040426039037112
80000,1599.999999998835,-0.4,-1.2029531715769517,1.1274430711340184
90000,1799.999999998653,-0.4,-1.2049634565592602,1.1508497131237492
100000,1999.9999999984711,-0.4000000000000001,-1.2641982861147179,1.1613035187416965
110000,2199.9999999982892,-0.4,-1.2429273935091685,1.2408119082069942
120000,2399.9999999981073,-0.4,-1.2561394721782857,1.2653421955278632
130000,2599.9999999979254,-0.4,-1.2134020694218683,1.1932848796711162
140000,2799.9999999977435,-0.4,-1.2334181095721954,1.2725533086661105
150000,2999.9999999975616,-0.4,-1.2652487660032226,1.2492665771822635
150000,2999.9999999975616,-0.4,-1.2652487660032226,1.2492665771822635
160000,3199.9999999973797,-0.4,-1.3077254010527748,1.2819185841920404
170000,3399.999999997198,-0.4,-1.2387158112771284,1.2278943649473972
180000,3599.999999997016,-0.4,-1.249687741956698,1.2288151665516107
190000,3799.999999996834,-0.4000000000000001,-1.278584254902888,1.3951933618694363
200000,3999.999999996652,-0.4,-1.2906169188797256,1.264201837884462
210000,4199.999999998835,-0.4,-1.24938451193632,1.2589228072005971
220000,4400.0000000032005,-0.4,-1.2831743031168175,1.2099021574743192
230000,4600.000000007566,-0.4,-1.2357021037848295,1.32059664031239
240000,4800.000000011932,-0.4,-1.346367807652224,1.2599483564636837
250000,5000.000000016297,-0.4,-1.3070982975261942,1.2704146398102298
260000,5200.000000020663,-0.4,-1.3126231210364538,1.2475629077927002
270000,5400.000000025028,-0.4000000000000001,-1.277293718231795,1.2386980558412184
280000,5600.000000029394,-0.4,-1.2602887207791864,1.3531152820824977
290000,5800.0000000337595,-0.4,-1.262541099923569,1.215651465834599
300000,6000.000000038125,-0.4000000000000001,-1.2427006079177336,1.3013311383196664
310000,6200.000000042491,-0.4,-1.2210274813257096,1.2555479099478417
320000,6400.000000046856,-0.4,-1.2481242298323993,1.2903141012233932
330000,6600.000000051222,-0.4,-1.2510977239905283,1.3275466950884933
340000,6800.000000055587,-0.4,-1.2692932865297626,1.2906074113942667
350000,7000.000000059953,-0.39999999999999997,-1.3103995978926657,1.3111413650261636
360000,7200.000000064319,-0.4,-1.255179597448215,1.3725501330365741
370000,7400.000000068684,-0.4,-1.2547453789689276,1.2786305906498392
380000,7600.00000007305,-0.4,-1.2324714818696423,1.3181695871873567
390000,7800.000000077415,-0.4,-1.3100009160434158,1.225548218086014
400000,8000.000000081781,-0.4000000000000001,-1.2516220505940816,1.2861644831722858
410000,8200.000000086146,-0.4,-1.3117889050655172,1.3075806869119022
420000,8400.000000090511,-0.4,-1.347365002305282,1.2921643060238748
430000,8600.000000094877,-0.4,-1.2753391954709965,1.2908495834125921
440000,8800.000000099242,-0.4,-1.285477329927428,1.2602630269117259
450000,9000.000000103608,-0.4,-1.2334935210966174,1.2722194416890902
460000,9200.000000107973,-0.4,-1.3151175746972115,1.2138853921139132
470000,9400.000000112339,-0.4,-1.298925793581273,1.3354772684695004
480000,9600.000000116705,-0.4,-1.331156223557599,1.328376634069057
490000,9800.00000012107,-0.4,-1.3223995754357472,1.3731577279503948
500000,10000.000000125436,-0.4,-1.307884091953094,1.30800144778208
510000,10200.000000129801,-0.4,-1.2736259443483033,1.282394830907141
520000,10400.000000134167,-0.4,-1.2802152749391404,1.2242908890397586
530000,10600.000000138532,-0.39999999999999997,-1.3077283262397223,1.299991202041739
540000,10800.000000142898,-0.4000000000000001,-1.261124308524451,1.2690220894940627
550000,11000.000000147264,-0.4,-1.2743806134608242,1.2583978749737694
560000,11200.00000015163,-0.4000000000000001,-1.2723346287286266,1.2618383911115372
570000,11400.000000155995,-0.4000000000000001,-1.3013039771733212,1.2610092664814438
580000,11600.00000016036,-0.4,-1.2380531406380983,1.3083098102660395
590000,11800.000000164726,-0.4000000000000001,-1.251053770597993,1.2885269766462195
600000,12000.000000169091,-0.40000000000000013,-1.2578271318377432,1.2510492229606798
610000,12200.000000173457,-0.40000000000000013,-1.2308024865862164,1.2475569246469587
620000,12400.000000177823,-0.4000000000000001,-1.2917730739890751,1.230878477900262
630000,12600.000000182188,-0.4000000000000001,-1.3310551119086402,1.3194775436255106
640000,12800.000000186554,-0.4000000000000001,-1.256296915487666,1.3034139289482458
650000,13000.00000019092,-0.40000000000000013,-1.2647767507358207,1.2515299083152904
660000,13200.000000195285,-0.4000000000000001,-1.2618260761076119,1.244122770550677
670000,13400.00000019965,-0.4,-1.2510653432721512,1.1647019174388231
680000,13600.000000204016,-0.4000000000000001,-1.35878538816482,1.2532916679558497
690000,13800.000000208382,-0.4000000000000001,-1.2357352004883044,1.296328324625355
700000,14000.000000212747,-0.4000000000000001,-1.2961584713569854,1.283035907612022
710000,14200.000000217113,-0.4000000000000001,-1.2942229943471983,1.2537060334712096
720000,14400.000000221478,-0.4000000000000001,-1.2472575414085911,1.3193625978814696
730000,14600.000000225844,-0.4000000000000001,-1.2640980578488497,1.231668217812417
740000,14800.00000023021,-0.4,-1.2663664423501761,1.2158266242545808
