iteration,time,total_mass,phi_min,phi_max
0,0.0,0.5466410975089027,-1.0,1.0042139440314932
10000,200.0000000000285,0.5466410975089027,-1.1688481103563981,1.0029445333247426
20000,399.99999999992616,0.5466410975089027,-1.166538068593493,1.0008175569993645
30000,599.9999999997443,0.5466410975089027,-1.165747687998665,1.0002738529099566
40000,799.9999999995624,0.5466410975089027,-1.1652084004524141,0.9990472271679738
50000,999.9999999993805,0.5466410975089027,-1.164722224173577,0.9974538822758185
60000,1199.9999999991987,0.5466410975089027,-1.164244738189069,0.995817344357627
70000,1399.9999999990168,0.5466410975089027,-1.1637636556067485,0.9942712702503187
80000,1599.999999998835,0.5466410975089027,-1.1632760807425835,0.9928600495355034
90000,1799.999999998653,0.5466410975089027,-1.1627822430554544,0.9915915006775413
100000,1999.9999999984711,0.5466410975089027,-1.1622834137600515,0.9904594581648997
110000,2199.9999999982892,0.5466410975089027,-1.1617810725918907,0.9896721891887833
120000,2399.9999999981073,0.5466410975089027,-1.1612766700289638,0.9892932036661345
130000,2599.9999999979254,0.5466410975089027,-1.1607715244314232,0.9889528700884291
140000,2799.9999999977435,0.5466410975089027,-1.1602667977848453,0.9886468931798881
150000,2999.9999999975616,0.5466410975089027,-1.1597634971900699,0.9883728646508191
160000,3199.9999999973797,0.5466410975089027,-1.1592624854053235,0.9881293426803847
170000,3399.999999997198,0.5466410975089027,-1.1587644941629383,0.9879076999903766
180000,3599.999999997016,0.5466410975089027,-1.1582701378569267,0.9877053564575086
190000,3799.999999996834,0.5466410975089027,-1.1577799266702984,0.9875200136312368
200000,3999.999999996652,0.5466410975089027,-1.157294278787544,0.9873496327730749
210000,4199.999999998835,0.5466410975089027,-1.1568135315759536,0.987192411825342
220000,4400.0000000032005,0.5466410975089027,-1.1563379517255892,0.9870467580238187
230000,4600.000000007566,0.5466410975089027,-1.1558677443884862,0.9869138555229512
240000,4800.000000011932,0.5466410975089027,-1.155403061381879,0.9867931446027
250000,5000.000000016297,0.5466410975089027,-1.1549440085309415,0.9866811010469597
260000,5200.000000020663,0.5466410975089027,-1.15449065222889,0.9865766943343608
270000,5400.000000025028,0.5466410975089027,-1.1540430252898495,0.9864790178664734
280000,5600.000000029394,0.5466410975089027,-1.1536011321646293,0.9863872740581007
290000,5800.0000000337595,0.5466410975089027,-1.1531649535828492,0.9863007611538208
300000,6000.000000038125,0.5466410975089027,-1.1527344506776296,0.9862188615944383
310000,6200.000000042491,0.5466410975089027,-1.1523095686420253,0.9861410317647158
320000,6400.000000046856,0.5466410975089027,-1.1518902399598208,0.9860667929658942
330000,6600.000000051222,0.5466410975089027,-1.151476387247813,0.9859957234703863
340000,6800.000000055587,0.5466410975089027,-1.151067925741799,0.985927451530888
350000,7000.000000059953,0.5466410975089027,-1.1506647654548086,0.9858616492302633
360000,7200.000000064319,0.5466410975089027,-1.15026681303327,0.9857980270719587
370000,7400.000000068684,0.5466410975089027,-1.149873973334715,0.985736329222807
380000,7600.00000007305,0.5466410975089027,-1.1494861507492053,0.9856763309633949
390000,7800.000000077415,0.5466410975089027,-1.1491032502857021,0.9856178327368831
400000,8000.000000081781,0.5466410975089027,-1.1487251784442463,0.9855606540251695
410000,8200.000000086146,0.5466410975089027,-1.1483518438940998,0.9855046366291496
420000,8400.000000090511,0.5466410975089027,-1.147983157978188,0.9854496396275123
430000,8600.000000094877,0.5466410975089027,-1.1476190350634776,0.9853955372106509
440000,8800.000000099242,0.5466410975089027,-1.1472593927568797,0.9853422167901423
450000,9000.000000103608,0.5466410975089027,-1.14690415200548,0.9852937688988413
460000,9200.000000107973,0.5466410975089027,-1.1465532370994138,0.9852509255054152
470000,9400.000000112339,0.5466410975089027,-1.1462065755945618,0.9852087260401308
480000,9600.000000116705,0.5466410975089027,-1.1458640981714439,0.9851670997544796
490000,9800.00000012107,0.5466410975089027,-1.1455257384450943,0.985125984140919
500000,10000.000000125436,0.5466410975089027,-1.1451914327396648,0.9850853239363989
510000,10200.000000129801,0.5466410975089027,-1.1448611198397285,0.9850450702433345
520000,10400.000000134167,0.5466410975089027,-1.1445347407289868,0.9850051797540816
530000,10600.000000138532,0.5466410975089027,-1.1442122383253075,0.9849656140663672
540000,10800.000000142898,0.5466410975089027,-1.1438935572196618,0.9849263390785908
550000,11000.000000147264,0.5466410975089027,-1.1435786434250386,0.9848873244551039
560000,11200.00000015163,0.5466410975089027,-1.1432674441399535,0.9848485431528302
570000,11400.000000155995,0.5466410975089027,-1.142959907530159,0.9848099710015571
580000,11600.00000016036,0.5466410975089027,-1.1426559825307272,0.984771588623537
590000,11800.000000164726,0.5466410975089027,-1.1423556186700243,0.9847333756432743
600000,12000.000000169091,0.5466410975089027,-1.1420587659160424,0.9846953130063679
610000,12200.000000173457,0.5466410975089027,-1.141765374545015,0.9846573847006941
