iteration,time,total_mass,phi_min,phi_max
0,0.0,-0.5466265394479835,-1.0044828200174911,1.0
10000,200.0000000000285,-0.5466265394479835,-1.0028694161118146,1.168724471952047
20000,399.99999999992616,-0.5466265394479835,-1.0008225529033767,1.1664198801242285
30000,599.9999999997443,-0.5466265394479836,-1.0002744349349935,1.1656406767338705
40000,799.9999999995624,-0.5466265394479835,-0.9990413064573791,1.1651139910766706
50000,999.9999999993805,-0.5466265394479836,-0.9974463695973571,1.1646415539400232
60000,1199.9999999991987,-0.5466265394479835,-0.9958094269480942,1.1641782712608602
70000,1399.9999999990168,-0.5466265394479836,-0.9942629348882498,1.1637114193186855
80000,1599.999999998835,-0.5466265394479835,-0.9928508359317336,1.163237748386412
90000,1799.999999998653,-0.5466265394479836,-0.9915808172740879,1.1627571857487684
100000,1999.9999999984711,-0.5466265394479836,-0.9904473878914666,1.1622707177926463
110000,2199.9999999982892,-0.5466265394479836,-0.9896670475665625,1.1617795775263284
120000,2399.9999999981073,-0.5466265394479836,-0.9892789786407882,1.1612849987116778
130000,2599.9999999979254,-0.5466265394479835,-0.9889291957091547,1.1607881303644945
140000,2799.9999999977435,-0.5466265394479835,-0.9886135427319622,1.1602900056571122
150000,2999.9999999975616,-0.5466265394479835,-0.9883490995219997,1.1597915429346257
160000,3199.9999999973797,-0.5466265394479835,-0.9881128168374087,1.1592935547831893
170000,3399.999999997198,-0.5466265394479835,-0.9878985146924792,1.1587967591283401
180000,3599.999999997016,-0.5466265394479835,-0.9877035427088195,1.1583017901628994
190000,3799.999999996834,-0.5466265394479835,-0.9875255363004958,1.1578092083372336
200000,3999.999999996652,-0.5466265394479835,-0.987362392264442,1.1573195091908912
210000,4199.999999998835,-0.5466265394479835,-0.9872122440637051,1.1568331310197042
220000,4400.0000000032005,-0.5466265394479835,-0.9870734379254903,1.1563504614597073
230000,4600.000000007566,-0.5466265394479835,-0.9869445104145265,1.1558718431028128
240000,4800.000000011932,-0.5466265394479835,-0.9868241678060575,1.1553975782693913
250000,5000.000000016297,-0.5466265394479835,-0.9867112673641315,1.154927933060421
260000,5200.000000020663,-0.5466265394479835,-0.9866048004985654,1.1544631408030765
270000,5400.000000025028,-0.5466265394479835,-0.9865038777005269,1.1540034049919876
280000,5600.000000029394,-0.5466265394479835,-0.9864077151195575,1.1535489085686015
290000,5800.0000000337595,-0.5466265394479835,-0.9863156226312699,1.1530998169880862
300000,6000.000000038125,-0.5466265394479835,-0.9862269932441008,1.1526905798228066
310000,6200.000000042491,-0.5466265394479835,-0.9861412937006633,1.15229174215312
320000,6400.000000046856,-0.5466265394479835,-0.9860580561397715,1.1518980076702305
330000,6600.000000051222,-0.5466265394479835,-0.9859768706977661,1.1515091113428397
340000,6800.000000055587,-0.5466265394479835,-0.9858974094517927,1.1511247949389012
350000,7000.000000059953,-0.5466265394479835,-0.9858200012607434,1.1507448097573465
360000,7200.000000064319,-0.5466265394479835,-0.9857472929268015,1.1503689188393547
370000,7400.000000068684,-0.5466265394479835,-0.9856862747808359,1.1499968987125408
380000,7600.00000007305,-0.5466265394479835,-0.9856271271824217,1.1496285407178766
390000,7800.000000077415,-0.5466265394479835,-0.9855699725711186,1.1492636519659816
400000,8000.000000081781,-0.5466265394479835,-0.9855143578390065,1.1489020559659426
410000,8200.000000086146,-0.5466265394479835,-0.9854625095793824,1.1485435929670786
420000,8400.000000090511,-0.5466265394479835,-0.985417034893705,1.1481881200502388
430000,8600.000000094877,-0.5466265394479835,-0.985372600171852,1.1478355110031093
440000,8800.000000099242,-0.5466265394479835,-0.9853290253763265,1.1474856560103746
450000,9000.000000103608,-0.5466265394479835,-0.9852861441464179,1.147138461187587
460000,9200.000000107973,-0.5466265394479835,-0.985243802714554,1.1467938479842945
470000,9400.000000112339,-0.5466265394479835,-0.9852018589645308,1.146451752480271
480000,9600.000000116705,-0.5466265394479835,-0.9851601816110533,1.1461121245958534
490000,9800.00000012107,-0.5466265394479835,-0.9851186494823229,1.1457749272355375
500000,10000.000000125436,-0.5466265394479835,-0.9850771508899846,1.145440135381952
510000,10200.000000129801,-0.5466265394479835,-0.985035594619583,1.145107735155479
520000,10400.000000134167,-0.5466265394479835,-0.9849938778664712,1.1447777228528837
530000,10600.000000138532,-0.5466265394479835,-0.9849519120864888,1.144450103977091
540000,10800.000000142898,-0.5466265394479835,-0.9849096185030809,1.1441248922683969
550000,11000.000000147264,-0.5466265394479835,-0.9848669255574498,1.1438021087463168
560000,11200.00000015163,-0.5466265394479835,-0.9848237685702236,1.1434817807698472
570000,11400.000000155995,-0.5466265394479835,-0.9847800894255503,1.1431639411228949
580000,11600.00000016036,-0.5466265394479835,-0.9847358362728655,1.1428486271304668
590000,11800.000000164726,-0.5466265394479835,-0.9846909632422784,1.1425358798103464
600000,12000.000000169091,-0.5466265394479835,-0.984645430170381,1.142225743064106
610000,12200.000000173457,-0.5466265394479835,-0.9846004625217205,1.1419182629103273
620000,12400.000000177823,-0.5466265394479835,-0.9845656438907888,1.1416134867624879
630000,12600.000000182188,-0.5466265394479835,-0.9845353772938097,1.1413114627530343
640000,12800.000000186554,-0.5466265394479835,-0.9845108623746213,1.1410122391046547
650000,13000.00000019092,-0.5466265394479835,-0.9844860347102251,1.1407158635494639
660000,13200.000000195285,-0.5466265394479835,-0.9844608850687834,1.140422382795877
670000,13400.00000019965,-0.5466265394479835,-0.984435407809357,1.1401318420430806
680000,13600.000000204016,-0.5466265394479835,-0.9844096006397076,1.1398538565695675
690000,13800.000000208382,-0.5466265394479835,-0.9843834643795224,1.1395818159805422
700000,14000.000000212747,-0.5466265394479835,-0.9843570027288683,1.1393125051959776
710000,14200.000000217113,-0.5466265394479835,-0.9843302220416861,1.1390459007339313
720000,14400.000000221478,-0.5466265394479835,-0.9843031311044523,1.1387819804058825
730000,14600.000000225844,-0.5466265394479835,-0.9842757409199683,1.138520722707971
740000,14800.00000023021,-0.5466265394479835,-0.98424806449667,1.1382621067032626
750000,15000.000000234575,-0.5466265394479835,-0.9842201166434854,1.1380143056029874
760000,15200.00000023894,-0.5466265394479835,-0.9841919137707172,1.1377746914686169
770000,15400.000000243306,-0.5466265394479835,-0.984163473697083,1.1375372908030863
780000,15600.000000247672,-0.5466265394479835,-0.9841348154633013,1.1373020318268139
